"tree_cover_loss_drivers__type","tree_cover_loss__year","tree_cover_loss_","gross_emissions_co2e_all_gases_Mg"
"Shifting agriculture",2015,4549565.2082506195,2397113046.065393
"Shifting agriculture",2016,7510914.726372576,4040986254.429399
"Shifting agriculture",2017,8058635.622607855,4269086042.7502394
"Shifting agriculture",2018,6262276.739792051,3409986411.244376
"Shifting agriculture",2019,5654994.261457639,3116085469.1333866
"Shifting agriculture",2020,6232546.180240978,3463408021.760954
"Unknown",2001,202125.65869706526,56194117.61041733
"Unknown",2002,172746.88322172457,48224902.71955509
"Unknown",2003,116496.2594045601,34125740.73890677
"Unknown",2004,197276.8204059859,56854857.25827814
"Unknown",2005,164342.74966914844,49746037.10170729
"Unknown",2006,176473.8425149269,52883789.57581235
"Unknown",2007,178182.47199189907,56177803.58113848
"Unknown",2008,183930.61427284265,57793006.26953069
"Unknown",2009,191079.45818794356,63789750.07764703
"Unknown",2010,200676.62290214322,68289645.74848193
"Unknown",2011,178179.71676854658,60928848.478682496
"Unknown",2012,286563.13745071494,105640220.43406127
"Unknown",2013,191864.41656572284,64385470.04606479
"Unknown",2014,182979.66864798212,71508617.12818052
"Unknown",2015,100198.19819585861,41136431.442028016
"Unknown",2016,168401.4024074055,70221631.80723208
"Unknown",2017,182867.05567011505,77916689.64974573
"Unknown",2018,157907.21840053433,66827814.92380181
"Unknown",2019,2165565.665278877,369289196.81381565
"Unknown",2020,3295665.3836746747,602627468.6989548
"Urbanization",2001,196251.24824538166,61495426.578809686
"Urbanization",2002,173856.08794828068,56191861.966557115
"Urbanization",2003,155235.81207782807,52001159.51400897
"Urbanization",2004,224591.68786115202,76195609.66724877
"Urbanization",2005,220261.51278278575,76113597.82829654
"Urbanization",2006,232083.37708995037,81693505.90860803
"Urbanization",2007,218957.51792335388,78617007.77713439
"Urbanization",2008,187398.4936408357,69979950.64019102
"Urbanization",2009,141346.50339545406,53371045.39968653
"Urbanization",2010,162596.11658953456,64133972.94632348
"Urbanization",2011,146912.06722267476,59789047.786539644
"Urbanization",2012,171958.08258349902,69667220.82921363
"Urbanization",2013,135213.9464792582,58349331.18542576
"Urbanization",2014,163787.06157079828,71223310.56549631
"Urbanization",2015,153564.57831372964,69269550.7357656
"Urbanization",2016,201903.60113024866,89513038.42495815
"Urbanization",2017,238895.72241082924,109344465.04587384
"Urbanization",2018,188403.69856236313,89959510.81453532
"Urbanization",2019,170378.68803948976,80071680.19772983
"Urbanization",2020,154126.56424031017,74154377.85019338
"Wildfire",2001,2141253.0916709946,326566686.3889954
"Wildfire",2002,4127115.9472644613,502351987.1491597
"Wildfire",2003,3840426.9170270893,474641620.31135744
"Wildfire",2004,5051299.003619586,775696508.8636049
"Wildfire",2005,3521031.6052654423,498804825.4785863
"Wildfire",2006,3792558.9397001537,585054770.4982674
"Wildfire",2007,3484948.5405766964,607711014.4348859
"Wildfire",2008,3891154.5935569727,627475378.6348689
"Wildfire",2009,2509491.3739636317,415587154.54225755
"Wildfire",2010,3128816.461604844,477655082.2051291
"Wildfire",2011,3423823.3559871074,500095898.7680521
"Wildfire",2012,6084011.721105981,958828222.2246236
"Wildfire",2013,6546723.8255386455,1104483564.6390166
"Wildfire",2014,5754070.227563734,819747959.9431518
"Wildfire",2015,4407968.539750124,580081487.6984532
"Wildfire",2016,5703572.5011431305,940963485.4628897
"Wildfire",2017,6302545.597444298,1185451729.6880052
"Wildfire",2018,6335118.249464242,1188237441.8263593
"Wildfire",2019,4131342.065247031,738374904.405089
"Wildfire",2020,4389445.005403289,897309727.4192117
