cryptoPrices,cryptoTimes
47427.582802696386,1631919015900
47326.899601812045,1631919304552
47308.83135112215,1631919584508
47127.660023288685,1631919894391
47122.67322212453,1631920215886
47143.881879086446,1631920488507
47280.58236834411,1631920801478
47330.14128904467,1631921100573
47319.775552252206,1631921409127
47333.539690259975,1631921669399
47364.70140504182,1631921976540
47406.039291062,1631922266645
47430.48974402695,1631922575004
47228.65821623257,1631922828480
47466.29833807861,1631923226646
47464.46764701085,1631923512996
47429.665821199334,1631923832011
47448.15305252406,1631924073722
47457.44198146603,1631924465251
47443.13404503266,1631924727639
47408.12837319215,1631925027054
47394.91161297372,1631925268460
47380.14038147524,1631925590222
47331.40227690229,1631925896382
47301.92560039609,1631926197557
47289.34561687842,1631926484065
47426.41817661318,1631926855545
47518.74293574421,1631927083683
47631.07729790835,1631927360321
47673.18454451563,1631927691508
47860.36918681057,1631927994877
47732.722073553865,1631928282658
47666.358252076396,1631928617762
47646.779626111624,1631928879417
47676.6951743832,1631929195430
47869.857988352436,1631929476029
47888.46200085364,1631929799633
47856.886172162616,1631930077924
47740.60829734665,1631930393537
47760.50496168077,1631930683542
47692.69353484231,1631931034049
47703.67783875879,1631931287420
47744.38343928783,1631931599291
47821.46202984812,1631931897700
47812.245616901244,1631932182469
47839.781287033766,1631932480113
47821.00214994548,1631932815318
47784.00960356891,1631933099471
47791.112045982205,1631933404146
47828.87195407293,1631933678678
47836.00197594406,1631933999931
47847.62141397467,1631934263072
47863.567070541125,1631934643497
47881.44171405816,1631934892045
47978.39858034699,1631935219656
47994.95246095304,1631935491398
48006.01427162612,1631935769212
48027.82111207787,1631936104634
48004.5017385764,1631936442515
47996.59194128163,1631936683093
47961.43946999693,1631936988346
48042.970315975224,1631937289906
48077.60839912284,1631937622976
48125.57635207599,1631937899873
48197.921978970604,1631938208357
48178.74746162349,1631938498724
48197.2503463327,1631938778025
48179.63899752088,1631939084653
48212.93204040892,1631939397036
48338.843275609615,1631939724950
48383.58128192048,1631939994658
48476.3503879698,1631940283353
48470.10909092288,1631940594029
48417.554264993465,1631940894749
48403.16977360875,1631941176952
48531.59084031937,1631941515644
48533.03957823639,1631941770403
48502.22040768931,1631942083706
48476.471881196274,1631942416330
48358.66132699036,1631942692462
48511.82825940045,1631943010838
48466.01421444794,1631943309205
48508.82718787682,1631943635419
48511.21711114271,1631943901361
48595.55905971917,1631944166627
48885.04963435698,1631944485466
48883.43513114779,1631944800400
48852.86961451121,1631945108223
48842.40369683622,1631945392828
48856.453012100545,1631945677399
48804.93648977872,1631946003210
48785.129092186995,1631946248342
48763.68208034763,1631946573053
48702.752624426466,1631946898270
48636.43148836062,1631947247954
48662.87233933419,1631947457840
48780.49653385186,1631947798612
48813.65984409534,1631948090374
48770.25001228254,1631948389209
48808.893465194305,1631948692160
48800.85472388001,1631949001914
48817.92309238977,1631949294236
48781.45389103191,1631949659492
48792.42897705485,1631949878606
48776.41563839057,1631950212805
48766.289362602,1631950493880
48741.28203812126,1631950776330
48643.46116201277,1631951089552
48643.04804058772,1631951371009
48662.22522143942,1631951688342
48682.76760080752,1631951994354
48737.18344065278,1631952304282
48879.69971668649,1631952583808
48840.96228556279,1631952919139
48813.15357138733,1631953154388
48788.53039221487,1631953498452
48761.03405959092,1631953765087
48777.81476853832,1631954086794
48804.24364375673,1631954397465
48830.05260666326,1631954652089
48804.83575054058,1631954882621
48737.975700730974,1631955301402
48726.18292288302,1631955645377
48763.78779898194,1631955812466
48791.574659233054,1631956210380
48803.50008167907,1631956507148
48831.77489592672,1631956821229
48803.9328649187,1631957097926
48751.290522004194,1631957442244
48734.449768405844,1631957615858
48714.19854082004,1631958023449
48680.30619338123,1631958308957
48638.90682319076,1631958626153
48654.51717099033,1631958868907
48701.70759449273,1631959148636
48751.76240155132,1631959501881
48752.12425262619,1631959720932
48715.81092366459,1631960103189
48751.52224477896,1631960398649
48762.38763778594,1631960667666
48777.852596869445,1631960836000
